full_text,class
amables eficientes y me explicaron todas mis dudas,positivo
era sabado sobre las  am aprox habia muy poca gente fue atendido rapidamente conclui y pude continuar con mis actividades,positivo
atendieron mi requerimiento,positivo
atencion rapida y amable  realizada por el personal,positivo
rapidez calidez del personal,positivo
me atendieron muy amablemente y despejaron mis dudas,positivo
la atencion fue rapida,positivo
el servicio que se me brindo fue rapido y eficiente,positivo
fue la primera vez que  visite esa ag ya que estuve  de camino por ahi,positivo
atencion rapida,positivo
por atencion rapida y la amabilidad,positivo
la apertura de una primera cuenta de ahorros fue rapida y segura,positivo
me atendieron bien,positivo
atentos,positivo
espere demaciado tiempo para ser atendida,positivo
la atencion que me dieron fue unica felicito a la srta karla por ser tan amable personas como ella son las que deberian estar en esos puestos,positivo
trato amable no hubo colas,positivo
por la calidad de la atencion y servicio,positivo
el joven fue muy amable me atendio muy bien,positivo
por lo cordial y eficiencia de los que en ese momento me atendieronpor ayudarme con las dudas con palabras no tan rebuscadas,positivo
buena y rapida atencion,positivo
debido a que la informacion sobre la cuenta de ahorro la cual estaba aperturando fue completo  precisa y a mi criterio muy clara y era lo que necesitaba saber aparte la manera de explicarmelo fue una manera correcta y respetuosa,positivo
fui atendido inmediatamente en ventanilla preferente,positivo
buena atencion,positivo
porque me atendieron muy cortesmentey fueron muy atentos,positivo
la atencion es rapida y muy amable,positivo
fue amable y rapida la atencion,positivo
excelente atencion y trato cordial resolvi mis duduas,positivo
buena atencion,positivo
me antendieron rapido y buena actitud de los funcionarios que  me  atendieron,positivo
porque pude efectuar  de las  operaciones que fui a realizar,positivo
porque la atencion es muy buena y la guia de agencia muy amable,positivo
no habia cola y me atendieron rapidamente,positivo
porque todas las personas  que trabajan en esta agencia empezando desde la persona de seguridad los dos jovenes que atienden al publico en la entrada y las personas que atienden en plataforma y ventanillas de pagos  son muy amables y nos absuelven cualquier duda esto es suficiente para decir que estoy satisfecho eso no pasaba antes  sigan asi mostrando buena imagen,positivo
por q fue super rapida la atencion y no tuve ningun inconveniente,positivo
me atienden bien,positivo
la atencion fue excelente en ventanilla,positivo
fui antendida hasta culminar mi solicitud,positivo
todo muy bien con la atencion personal amable,positivo
porque atendieron muy bien mi tramite en plataforma son muy cordiales en el trato,positivo
por la atencion y los servicios brindados,positivo
la atencion fue inmediata y correcta,positivo
los colaboradores de la agencia son muy amables y absuelven todas mis dudas y me asesoran muy bien,positivo
por que me gusto su trabajo y el mayor movimiento,positivo
porque la atencion es eficiente,positivo
realizaron mi operacion,positivo
la atencion fue de inmediato  mas aun al estar acompañado con mi hija discapacitada,positivo
resolvieron mis dudas en el tema de mi capacidad de endeudamiento aprendi que no debo de tener muchas tarjetas de credito por que ello baja mi escore crediticio,positivo
rapidez en la atencion brindada,positivo
atendieron mi solicitud de manera eficiente y rapida,positivo
buena atencion,positivo
buena atencion ya que es rapido y eficiente,positivo
por la rapidez de la atencion y quedo me atendieron muy bien,positivo
por la atencion amena del personal,positivo
rapidez amabilidad,positivo
porque aun sin sistema me atendieron y al dia siguiente lo regularizaron,positivo
he recibido una buena atencion,positivo
muy agradable y rapida la atencion,positivo
me atendieron con amablidad la srta de plataforma y tbn de ventanilla,positivo
rapida atencion muy amables,positivo
la atencion fue muy buena y tiempo de espera fue muy corto,positivo
porque la srta q me atendio fue muy amable y me explico con paciencia los puntos sobre la tarjeta q adquiri,positivo
fui atendido muy bien y absolvieron mis consultas,positivo
atencion rapida y cordial,positivo
mucho publico,positivo
atencion rapida,positivo
porque el servicio ha mejorado aunque creo que puede ser mejor,positivo
el asesor redfor es a,positivo
porque la atencion fue exelente y la señorita que se encontraba al ingresar fue muy amable conmigo,positivo
por la atencion rapida,positivo
buen trato,positivo
debido a que no habia gente en la agencia y pude realizar mis tramites con rapidez,positivo
la srta que me atendio fue muy cortes educada y muy amable,positivo
porque la primera vez que fui a pesar que habia  personas atendiendo en ventanilla solo daban paso a clientes vip bcp esta ultima vez no habia nadie,positivo
muy buena atencion por parte de la señorita sanchez de plataforma,positivo
por que acogieron mi reclamo sobre deuda a julio  por mas de  soles de mi tarjeta credito visa toda vez que acredite que habia cancelado la deuda en mayo del ,positivo
me atendieron rapido,positivo
solo fue una visita de coordinacion para nuestros requerimientos pero me encontrare totalmente satisfecho cuando se concreticen,positivo
todas las personas que me atendieron lo hicieron de forma proactiva y me resolvieron todos mis pedidos,positivo
buena atencion aunque tuve que esperar casi  min para que me atiendan,positivo
por la calidad de servicio  de todo el personal desde que entre me dieron la bienvenida y cuando me atendieron en plataforma tambien recibi una buena atencion,positivo
me dieron una buena atencion en plataforma,positivo
por la atencion cordial oportuna y eficiente se cumplio a cavalidad lo que fui hacer,positivo
porque fui atendido con mucha amabilidad al plantearles mi problema me ayudaron inmediatamente y me solucionaron el problema,positivo
por que  quien me atendio fue muy amable y tuvo mucha paciencia con todos los pagos que hice me agrado,positivo
no habia mucha gente fue rapido,positivo
me tendieron con calidad amabilidad y rapidez,positivo
por la atencion brindada por el personal del banco,positivo
pase rapido la atencion fue eficiente,positivo
el trato,positivo
por la buena explicacion que explica  la señorita,positivo
me apoyaron en todas mis dudas,positivo
en orden de colas,positivo
trato fue muu bueno y amable,positivo
rapida atencion,positivo
me atendieron con prontitud,positivo
por la actitud de los trabajadores que me atendieron,positivo
porque me brindaron informacion especifica y opciones que me beneficiarian mas de a cuerdo a los intereses que pueda ganar a plazo fijo,positivo
buena atencion,positivo
por que me trataron bien me explicaron en cuantos amis dudas q yo te nia,positivo
la señorita que me atendio en plataforma fue muy amable para atenderme y muy respetuosa el tiempo de atencion fue rapido,positivo
solucionaron un problema que ustedes mismo lo provocaron es decir me dieron una solucion inmedata a pesar del tiempo fuera de atencion,positivo
porque me atendieron de manera inmediata y pudieron ayudarme con el tramite que realice,positivo
porque resolvieron mi problema rapidamente,positivo
por el personal que me atendio fue muy amable y especifico y atento,positivo
porque hice las operaciones que debia hacer,positivo
buena atencion sabe dar respuesta a la consulta realizada y soluciones,positivo
bueno me comunicaron sobre una compra de deuda que me salio beneficiando,positivo
porque atendieron mi solicitud en tres dias utiles cuando yo tenia conocimiento por otras personas que demoraban en dar respuesta meses y hasta años,positivo
ya no no habia muchas personas en cola esperando,positivo
por la rapidez de la atencion y seguridad,positivo
porque hay buena atencion brinda la informacion correcta,positivo
cordialidad del personal,positivo
la atencion fue muy atenta y rapida,positivo
por el apoyo brindado a la suda que tenia,positivo
porque resolvieron todas mis dudas,positivo
la atencion prestada fue muy cordial y satisfactoria toda duda fue aclarada,positivo
la espera es lo q molesta mucho se demoran en atender,positivo
poco publico atencion rapida,positivo
por el buen trato y la rapidez en el servicio,positivo
por la atencion,positivo
tuve una buena y rapida atencion,positivo
buenos dias  estoy satisfecha por la atencion personalizada de la señorita luz mogollon que con mucha profesionalidad me atendio y ayudo en la gestion que hize,positivo
xq la atencion fue muy cordial de la chica q m atendio y rapida,positivo
atencion rapida,positivo
la atencion es rapida y las preguntas y dudas contestadas y solucionadas con varias alternativas a escoger,positivo
todo bien,positivo
fue rapido y amable no habia cola,positivo
por que me bridaron una infirmacion satisfactoria,positivo
la atencion fue muy buena diria excelente la gerente estaba en su escritorio me indico amablemente que no le toca laborar el sabado  de oct pero sin embargo me atendio y dio solucion a mi problema estoy muy agradecido de la señora no recuerdo su nombre sino gustoso le dariagracias,positivo
es optimo el servicio otorgado por el banco,positivo
recibii el servicio que necesitaba,positivo
por la atencion agil y oportuna,positivo
me atendieron muy amables y rapido,positivo
por que la atencion es muy lenta pero si me solucionan lo que ncesito,positivo
porque llegue a completar los tramites que tenia que hacer,positivo
por la atencion esmerada y rapida,positivo
el tiempo de atencion fue optimo,positivo
porque siempre me atienden con rapidez  y no pierdo  tiempo,positivo
 por que la chica que esta en la puerta me ayudo con la apertura de mi cuenta         en ventanilla tambien me atendieron bien,positivo
es un personal muy amable nos ayudan aclaran las dudas que uno pueda tener y su atencion es buena,positivo
local nuevo y trabajadores al servicio,positivo
fui atendido muy bien y entemdido todas mis dudas muy satisfecho con mi visita,positivo
puesto que muchas veces suelo retardar mi pago o cobranza porque no hay tantos cajeros disponibles como muestra la ventanilla,positivo
poque la señorita me atendio muy bien,positivo
la srta quien me ayudo en el tramite despejo todas mis dudas y me ayudo en todo momento,positivo
rapida atencion y abono,positivo
no tuve que te esperar mucho tiempo para ser atendida,positivo
la chica de ventanilla me atendio muy bien y me oriento,positivo
me atendieron en forma eficiente a pesar de estar realizando pagos de diferente rubros ademas me indicaron de pagos que puedo realizar  via cajero automatico u el token,positivo
por la atencion,positivo
por que me han atendido bien,positivo
recibi toda la ayuda que necesitaba,positivo
realizaron de manera eficiente lo solicitado,positivo
la atencion en ventanilla fue rapida y muy amable,positivo
buena atencion,positivo
me atendieron rapido fueron amables me dieron  respuestas rapidas y concidas,positivo
atencion rapida y dieron solucion a consulta,positivo
por que fui atendido de acuerdo a mis expectivas,positivo
me atendieron rapido,positivo
por la atencion brindada,positivo
muy buena atencion fue rapida y la señorita maria fue muy amable,positivo
buena atencion rapidez,positivo
me atendieron rapido y amablemente,positivo
rapidez,positivo
por el trato amable y cordial mostrado por su empleada la cual me dio alternativas para escoger la cuenta que mas se ajustaba a mis requerimientos,positivo
por ke me atendieron rapido,positivo
la atencion fue rapida amable y muy eficiente entre a la agencia y sali de ahi en  minutos con mi problema completamente resuelto,positivo
me atendieron y realizaron mis pedidos,positivo
porque la atencion es mas rapida,positivo
buen ambiente buen trato limpieza orden,positivo
porque tiene un excelente servio y atencion al cliente  y eso me es muy importante,positivo
me atendieron muy amablemente con mucha informacion,positivo
por la rapida atencion y por tener varios cajeros para hacer retiros,positivo
por la amable atencion y su rapidez,positivo
por la amabilidad del personal que recibe al publico de esa agencia,positivo
atencion inmediata y solucion a mis consultas,positivo
me atendieron bien,positivo
rapida atencion,positivo
porque me atendieron rapido,positivo
me atendieron de inmediato  me orientaron bien  obtube  la solucion a lo que solicitaba,positivo
pq hago tranquila mis trnssaaciones y una uena atencion y un ambiente agradable,positivo
atencion cordial y super rapida,positivo
rapidez amabilidad seguridad,positivo
la amabilidad y preocupacion por mis intereses de parte de la señorita rios,positivo
por una buena atencion,positivo
por la atencion brindada segun la consulta,positivo
me atendieron con mucha cordialidad y resolvieron todas mis inquietudes,positivo
atencion rapida y cordial,positivo
en la agencia riverra navarrete se encuentra mi ejecutiva bex quien siempre me ayuda con las operaciones que yo requiera es muy atenta y eficiente siempre salgo contenta despues de haber sido atendida por ella silvia fuentes,positivo
porque  desde que  entro a la  agencia  son muy amables  desea la señorita que oerienta  asta  el gerente,positivo
siempre nos atienden rapido,positivo
xxx,positivo
no tuve que esperar mucho para que me atiendan y pude realizar mi transaccion,positivo
buena atencion,positivo
buena atencion,positivo
buena asesoria,positivo
el sectorista a cargo de la cuenta muy amable da soluciones rapidas sino sabe algo consulta a sus superiores al final uno se va con las ideas claras y los temas resueltos,positivo
por la rapidez con la que atienden al tener varios ventanillas abiertas,positivo
la atencion es eficiente,positivo
fueron claros y precisos,positivo
porque tenia respuestas satisfactorias y claras de entender a mis dudas aparte me orientarion al momento de escoger una cta de ahorro por ultimo la señorita que me atendio me recibio con un sonrisa discreta pero contagiosa,positivo
muy buena amabilidad y me ayudo a solucionar mis inconvenientes,positivo
por que tiene un buen ambiente y una rapida atencion,positivo
muy buena atencion,positivo
resolvieron mis dudas,positivo
buena atenciom  rapida  eficiente,positivo
me trataron bien una buena atencion,positivo
porque me atendieron pronta y satisfactoriamente a mis requerimientos,positivo
la srta que me atendio fue muy amable y la atencion fue rapida,positivo
cordial atencion y correcta informacion para las operaciones realizadas,positivo
buena informacion atencion y rapidez,positivo
por la atencion precisa que me brindaron,positivo
las respuestas son muy claras,positivo
por la atencion personal y rapida con la srta de ingreso   dandome la solucion inmediata sabiendo a quien dirigirse para mi problema,positivo
buen sevicio,positivo
atencion rapida sin necesidad de hacer colas largas,positivo
por el trato muy cordialmente y por la asesoria q me brindo al hacer el abono rapida la atencion  gracias,positivo
esta a mi disponibilidad y el buen trato,positivo
absolvieron todas mis consultas satisfactoria y rapidamente,positivo
rapidez en la atencion,positivo
por la atencion que recibi fueron muy atentos y solucionaron mi problema,positivo
calidad y disposicion de servicio en todo momento de la atencion,positivo
por  la atencion y rapidez  brindada  a mi operacion bancaria,positivo
menos descongestionada,positivo
porque son una bendicion para mi vida,positivo
laseñorita resolvio mi problema de la mejor manera posible,positivo
atencion cordial rapida y efectiva gracias,positivo
muy buena atencion y solucionaron mi pedido,positivo
me atendieron muy amablemente dandome solucion rapidamente a lo que solicitaba,positivo
amabilidad y rapidez,positivo
por la rapidez que me atendieron,positivo
buen trato y atencion rapida en plataforma en la ventanilla si tuve que esperar a pesar que estaba en la cola de cliente exclusivo,positivo
por el buen servicio recibido,positivo
por que me atendieron bien  con respeto y sobretodo rapido,positivo
atencion rapida y eficaz,positivo
el tiempo de espera fue el correcto y la atencion estuvo muy bien,positivo
por la buena atencion recibida,positivo
atencion personalizada y efectiva,positivo
atencion rapida nada de colas asesores de confianza,positivo
por atencion rapida y efectiva,positivo
buena atencion pero demoro un poco mas de lo que tenia previsto,positivo
cumple con los estandares de calidad y atencion al cliente,positivo
por la atencion y sobre todo por no esperar largas colas,positivo
la atencion del personal de ventanilla es muy buena,positivo
tuve una buena atencion y buena informacion sobre la tarjeta de ahorros,positivo
atienden bien,positivo
porque les importo lo que yo les decia escuchandome entodo momento y preocupandose por lo que necesitaba en ese momento,positivo
la cortesia y preocupasion que mostro la srta melissa por mi gestion me agrado mucho,positivo
rapidez en la atencion,positivo
por su buena atencion,positivo
su excelente atencion,positivo
la atencion brindada por la asesora excelente la explicacion acrerca de mi mi consulta muy puntual y concisa a pesar de que no pude acceder a la solicitud requerida si bien es cierto tuve unos atrasos pero por un tema de puntos y no por que no este al  en la actualidad a pesar de tener mas de dos años como cliente del banco,positivo
porque no tengo problemas en hacer mis retiros ni hay que esperar mucho tiempo,positivo
por que me resolvieron mis dudas sobre unas pregunta que le hice a la señorita,positivo
por que la atencion de su personal es muy esmerada y con rapidez,positivo
me atendieron bien y rapido,positivo
no habia mucha cola y no se va el sistema,positivo
se identifica atencion personalizada pues atienden ventanilla y tambien el administrador,positivo
porque su atencion es muy esquisto me brindaron respeto paciencia y mucha informacion con precision,positivo
por la atencion rapida que tuve,positivo
atencion personalizada y mucha amabilidad,positivo
porque el personal es muy amable y eficiente,positivo
la atencion cordial y amable  para atender mis requerimientos,positivo
por la atencion brindada,positivo
porque realice mis operaciones con tranquilidad,positivo
si,positivo
trato bastante amical y servicial en la ventanilla y asistencia personalizada  con mucha disposicion a ayudarme  del personal orientador que esta por los cajeros y en general de toda la agencia,positivo
la persona que me atendio una señora fue muy amable me explico al detalle el producto que adquiri aquel por tal motivo me siento satisfecho con el bcp,positivo
la atencion fue muy buena,positivo
por la buena atencion,positivo
atencion rapida y cordial,positivo
la atencion es rapida y cuando kieres una informacion es presisa,positivo
por presentar un ambiente muy agradable,positivo
no tuve que esperar en cola ya que me atendieron como banca exclusiva,positivo
por su atencion ya que son muy cordial en su trato y rapido en su gestion y operacion,positivo
el joven que me atendio fue muy amable ademas que recibi una atencion inmediata,positivo
rapidez eficiencia,positivo
poco tiempo de espera felizmente no habia gente y atencion rapida,positivo
me atendieron muy bien,positivo
rapidez en la atencion,positivo
por la comodidad del ambiente y el servicio que brindo la señorita castro en plataforma,positivo
atencion rapida y adecuada,positivo
realice las gestiones y me informe de otros servicios que podia prestarme el bcp,positivo
por la buena atencion y por la rapidez en hacer sus operaciones,positivo
la señorita me atendio de manera muy eficiente y prolija me proporciono toda la informacion que le solicite con un trato muy amable y atento respondio mis preguntas de manera amplia y me dio sugerencias validas,positivo
me atendieron rapido y atendieron a mi solicitud con eficiencia,positivo
la atencion es rapida,positivo
porque fui con el fin de obtener respuestas algunas dudas e informacion y me atendieron muy bien,positivo
la rapidez y calidad de atencion en ventanilla,positivo
buena atencion,positivo
xq tuve una atencion rapida y eficaz me dieron todas las pautas en lo q estaba interesada,positivo
por la predisposicion de atencion de la colaboradora que brinda informacion y por la atencion del personal del banco cajero y administrdor,positivo
x k la atencion fue muy buena gracias y me explicaron  con una gran pasieencia para poder entender,positivo
porque la atencion fue inmediata la señorita que me atendio muy amable,positivo
su trato,positivo
mi atencion fue rapida con el procedimiento que realize dicho dia y como cliente quede sastifactoriamente complacido,positivo
fui atendido en el menor tiempo de lo que pensaba,positivo
la señorita que me atendio fue muy amable tuve la paciencia de explicarme la tarjeta que estaba sacando y las consideraciones que tenia que tomar,positivo
porque me solucionaron mi pregunta y me ofrecieron cualquier cosa que necesite vuelva,positivo
porque la señorita tiene la facilidad de explicar y hacer entender nuestra consultas ademas para tener la atencion adecuada y estar segura del tramite que he realizado se ha tomado el tiempo de verificar la transaccion que he realizado porque en una operacion similar hace unos años atras no me explicaron cual deberia ser el tramite final y he tenido un mal momento despues de un mes realizado mi transaccion en esa oportunidad ahora si me explicaron paso paso a seguir estoy satisfecha por la atencion recibida por la señorita,positivo
porque fui atendido rapido y bien,positivo
rapidez en gestionar lo que requeria una buena comunicacion en el momento de averiguar los beneficios de la tarjeta,positivo
realice un pago de prestamo muy rapido en el cajero,positivo
porque la atencion fue muy rapida en la mañana  por parte de una señorita de ventanilla que me ayudo en el problema que tenia con mi cuenta me ayudo a identificar el tipo de cuenta que tengo junto con el asesor,positivo
buena atencion y rapidez,positivo
solucion rapida a mi solicitud,positivo
la atencion fue de lo mejor,positivo
la persona que me atendio  en plataforma me oriento y explico muy bien mis dudas,positivo
mas atencion desde la puerta hasta la ventanilla tube q hacer cola afuera estando la oficina vacia,positivo
porque me atendieron bien y resolvieron mi consulta,positivo
por el trato en ventanilla,positivo
buena atencion muy amable muy educada la cajera y eficiente en su trabajo,positivo
la atencion  hay poco publico y rapidez,positivo
el personal de atencion fue muy atento y amable  la unica critica es que considero que deberian atender mas rapido a las personas,positivo
por q me falta la cuenta total de mi deuda del banco a pagar,positivo
atencion rapida en el modulo,positivo
fue rapida la atencion,positivo
por  que  el servicio que  recibi  fue lo mas  clara posible  y rapido,positivo
atencion rapida atendian la totalidad de ventanillas,positivo
resolvieron todas mis dudas,positivo
por la rapidez y por el servicio del cajero que atendio mi solicitud de acuerdo a mis necesidades,positivo
tiempo de espera,positivo
es muy rapido la atencion,positivo
porque me atendieron con rapidez y con eficiencia,positivo
porque la srtaque me atendio fue muy atenta y ademas me informo sobre un seguro adicional sobre las tarjetas,positivo
por la atencion brindada y ademas me brindaron la informacion necesaria,positivo
atencion rapida y amable,positivo
la persona que atiende es muy atenta y amable en su trato y tiene mucho interes en resolver el caso solicitado por el cliente,positivo
la atencion,positivo
no tengo mucho q esperar hago mi operacion en ventanilla y un trato amable de los cajeros,positivo
soy un adulto mayor y hay mucha atencion y amabilidad con nosotros,positivo
la atencion fue excelente por la señorita claudia y otra compañera de trabajo las dos me ayudaron a definir mis acciones,positivo
por su profesionalismo,positivo
no hubo demora en mi atencion y se gestiono rapidamente lo que solicite,positivo
por la atencion esmerada y oportuna ,positivo
aunque no logre obtener mi tarjeta por falta del sistema fueron muy amables y con bastante paciencia al explicarme el inconveniente,positivo
fui atendido dentro del horario y el tiempo razonable,positivo
buena atencion,positivo
buena atencion por el personal,positivo
resolvieron mis dudas y me brindaron sugerencias para no cometer el mismo error,positivo
por la atenciòn brindada con amabilidad y muy rapido,positivo
el tiempo tuve que espera para ser atendida,positivo
por su rapidez y buen trato y amabilidad,positivo
por que resolvieron mis consultas,positivo
fui a sacar una tarjeta de cuenta de ahorros y el recibimiento en la entrada hasta el modulo fue bastante amable y buena ademas de rapida,positivo
me atendieron rapido pero por ser cliente y no banca exclusiva hicieron pasar primero a  personas que llegaron despues que yo,positivo
atencion  impecable y muy rapida y eficiente,positivo
responden a tus preguntas,positivo
fui atendido diligentemente y con cortesia,positivo
no habia mucha gente y la atencion fue rapida,positivo
tienen mucha voluntad de atender,positivo
fue exitoso un pago a la sunat y luego la atencion en plataforma para la apertura de una cuenta en me  me explicaron porque no pude el dia anterior hacer dicho pago pasada las  horas,positivo
me atendieron bien y atendieron todas mis dudas,positivo
rapida atencion por el pago de un servicio muchas gracias,positivo
espere poco y me atendieron rapido,positivo
es rapida la informacion que necesito,positivo
porque pude hacer mis pagos sin ningun inconveniente salvo la demora en las ventanillas,positivo
la atencion fue muy cordial  las dudas fueron resueltas de manera rapida y sencilla excelente trato,positivo
la atencion fue muy acogedora de todo el personal tanto del guia del banco y de la persona de plataforma ademas me explicaron cada duda que tenia antes de que tome una decision,positivo
fue rapida la atencion,positivo
por que sali satisfecho,positivo
buena atencion por parte del personal que me atendio ese dia muy amables por lo que se les agradece,positivo
la atencion que recibi fue rapida y eficaz,positivo
atendieron mi solicitud y dudas,positivo
por absolver mis dudas y hablar con transparencia,positivo
se acerco un trabajador y me pregunto que operacion iba a realizar y tambien el o la cajera muy amables,positivo
me dieron una muy buena atencion,positivo
porque fui atendida rapidamente y no tuve que hacer largas colas,positivo
porque la señorita yesenia me ayudo en lo que estaba buscando y fue muy amable y rapida en su atencion,positivo
me atendio una srta muy amable que incluso me recibio con una sonrisa cosa extraña en un banco,positivo
muy buena atencion,positivo
la ejecutiva me atendiò muy bien,positivo
por una atencion rapida y eficiente por parte del colaborador del banco,positivo
visite la agencia en un horario poco concurrido vulva atencion fue rapida,positivo
la atencion fue fluida y no hubo demasiada espera,positivo
fueron amables y rapidos,positivo
me atendieron rapido,positivo
fui atendida rapido,positivo
porque tuve una duda y le pregunte a unos de los trabajadores del bcp y me dieron una excelente atencion,positivo
por la atencion amable queme han atendido las veces que ido a dicho banco,positivo
fue rapido,positivo
la atencion fue muy amable y rapida,positivo
porque esta cerca a mi casa,positivo
fue un tramite corto pero basto para ser bien atendido,positivo
como llegue con mis hijas la atencion preferencial fue rapida personalizada y satisfactorio,positivo
el personal me trato de la mejor manera,positivo
buena atencion sin embargo el tiempo de espera fue largo,positivo
por la amable y rapida atencion,positivo
fue una atencion rapida para realizar un pago de tarjeta de credito,positivo
la persona que me atendio fue amable,positivo
por la atencion  el simple recibimiento agradable y el interes o inquietud del cliente  gracias,positivo
porque me atendieron muy amable y no me dijeron que vaya a cajero,positivo
por q me atendieron rapido y me explicaron sobre las consultas de mis tarjetas,positivo
porque el joven me explico muy detalladamente que cuenta me convenia y asesorandome muy bien,positivo
la atencion es muy rapida y sus asesores te apoyan o te resulven tus inquietudes de inmediato,positivo
por la rapida y buena atencion,positivo
atencion rapida en plataforma y resolvieron mis dudas,positivo
porque ya habian personas esperando y querian pasar al siguiente cliente,positivo
buena atencion,positivo
uy buena atenion,positivo
valgan verdades no habia mucha gente en las colas esperando ser atendidas yo tengo la opcion de ir por la de cliente exclusivo o algo asi la cola en gris plata y tuvieron la deferencia de una ventanilla mucho mas alla de donde yo estaba parada de llamarme para atenderme rapido,positivo
rapidez y eficacia,positivo
atencion rapida e informacion necesaria para poder realizar mis tramites,positivo
la excelente atencion de la ejecutiva rocio cueva,positivo
rapidez y calidad de la atencion,positivo
la atencion fue rapida y de manera muy amable la srta paola andres es una excelente trabajadora,positivo
la buena atencion,positivo
porq la persona que atendio fue atento y ayudo en lo q tenia que hacer y no demore,positivo
amabilidad tiempo de espera,positivo
rapido atencion,positivo
porque yo al ser una persona con deficiencia visual recibi todo lo necesario para solucionar mi dificultad de lo cual estoy muy agradecido,positivo
por la excelente atencion recibida,positivo
buena atencion,positivo
por que me atendieron muy amablemente,positivo
demora en la atencion,positivo
porque absolvieron la consulta,positivo
solo fui al cajero de la agencia del bcp de chaclacayo y no tuve ni un problema con el retiro de dinero me parecio un lugar seguro,positivo
fueron amables,positivo
por que me solucionaron en el instante la consulta y pude pagar las deudas en el instante,positivo
la atencion fue rapida y los ejecutivos atentos,positivo
la atencion rapida amable y muy coordial,positivo
atencion rapida cortez y eficiente,positivo
consulta de mi tarjeta americano expresa,positivo
me atendieron rapido ,positivo
buena atencion,positivo
por su compromiso de brindar una buena orientacion y su rapidezen la atencion por ventanilla,positivo
la atencion fue muy rapida y muy cordial,positivo
porque me trataron bien y me explicaron las dudas que tenia,positivo
primeramente un poco contrariado al no proceder positivamente mi solicitud de exoneracion de la membresia y no me alcanzaron ninguna via para solucionar dicho monto a pagar,positivo
buen trato,positivo
personal en atencion al cliente   counter buena atencion,positivo
porque solucionaron mi problema y me atendieron muy bien,positivo
me atendieron muy buen trato la señorita que me antendio me resolvio mis dudas,positivo
porque resolvieron todo lo solicitado,positivo
me atendieron rapido y amablemente,positivo
buena atencion  amables y calidad de servicio,positivo
porque me atendieron muy rapido,positivo
tube la suerte de encontrar la agencia con poco publico y fui atendido con prontitud y cordialidad,positivo
la atencion fue rapida y muy eficiente,positivo
puede hacer todos los tramites que tenia previstos sin problemas ni retrasos,positivo
porque logre realizar todas mis gestiones y fui atendido por la sra milagros sierra,positivo
porque yo vivo en carapongo el unico bcp mas cercano es el de santa clara,positivo
solventaron todas mis preguntad,positivo
por la rapidez en la atencion,positivo
porque hice una consulta y de inmediato me atendieron,positivo
por la buena atencion y la buena informacion,positivo
atencion buena,positivo
la atencion fue rapida y la persona que me atendio muy amable,positivo
